song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Panama,2019-11-29,2019-12-06,Negative
Vete,Bad Bunny,2,Panama,2019-11-29,2019-12-06,Negative
Si Te Vas,Sech,3,Panama,2019-11-29,2019-12-06,Positive
Fantasias,Rauw Alejandro,4,Panama,2019-11-29,2019-12-06,Negative
China,Anuel AA,5,Panama,2019-11-29,2019-12-06,Negative
RITMO (Bad Boys For Life),Black Eyed Peas,6,Panama,2019-11-29,2019-12-06,Positive
LA CANCIÓN,J Balvin,7,Panama,2019-11-29,2019-12-06,Negative
Quizas,Rich Music LTD,8,Panama,2019-11-29,2019-12-06,Positive
Adicto (with Anuel AA &amp; Ozuna),Tainy,9,Panama,2019-11-29,2019-12-06,could not determine analysis
Whine Up,Nicky Jam,10,Panama,2019-11-29,2019-12-06,Negative
Callaita,Bad Bunny,11,Panama,2019-11-29,2019-12-06,Negative
Que Tire Pa Lante,Daddy Yankee,12,Panama,2019-11-29,2019-12-06,Negative
No Me Conoce - Remix,Jhay Cortez,13,Panama,2019-11-29,2019-12-06,Negative
Loco,Beéle,14,Panama,2019-11-29,2019-12-06,Positive
Aventura,Lunay,15,Panama,2019-11-29,2019-12-06,Negative
Bellaquita,Dalex,16,Panama,2019-11-29,2019-12-06,Negative
Fantasía,Ozuna,17,Panama,2019-11-29,2019-12-06,Negative
Hola - Remix,Dalex,18,Panama,2019-11-29,2019-12-06,Negative
Bellaquita - Remix,Dalex,19,Panama,2019-11-29,2019-12-06,Negative
Tutu,Camilo,20,Panama,2019-11-29,2019-12-06,Negative
Pa Mí - Remix,Dalex,19,Panama,2019-12-06,2019-12-13,Negative
Sigues Con El,Dímelo Flow,2,Panama,2019-12-13,2019-12-20,Negative
Infeliz,Arcangel,17,Panama,2019-12-20,2019-12-27,Negative
