song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Ignorantes,Bad Bunny,1,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Party En Mi Casa,Boza,2,Panama,2020-02-21,2020-02-28,Positive,https://genius.com/Boza-party-en-mi-casa-lyrics
Tusa,KAROL G,3,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Sigues Con El,Dímelo Flow,4,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Definitivamente,Daddy Yankee,5,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Daddy-yankee-and-sech-definitivamente-lyrics
Girl,Myke Towers,6,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Myke-towers-girl-lyrics
Diosa,Myke Towers,7,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Myke-towers-diosa-lyrics
Coronao Now (Remix),El Alfa,8,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/El-alfa-sech-and-myke-towers-coronao-now-remix-lyrics
Vete,Bad Bunny,9,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Bad-bunny-vete-lyrics
Keii,Anuel AA,10,Panama,2020-02-21,2020-02-28,Positive,https://genius.com/Anuel-aa-keii-lyrics
Mejor,Dalex,11,Panama,2020-02-21,2020-02-28,Positive,https://genius.com/Dalex-and-sech-mejor-lyrics
Hola - Remix,Dalex,12,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Fantasias,Rauw Alejandro,13,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Rauw-alejandro-and-farruko-fantasias-lyrics
Dance Monkey,Tones And I,14,Panama,2020-02-21,2020-02-28,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Caen &amp; Caen,Chamaco,15,Panama,2020-02-21,2020-02-28,could not determine analysis,
Medusa,Jhay Cortez,16,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Jhay-cortez-anuel-aa-and-j-balvin-medusa-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,17,Panama,2020-02-21,2020-02-28,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Si Te Vas,Sech,18,Panama,2020-02-21,2020-02-28,Positive,https://genius.com/Sech-and-ozuna-si-te-vas-lyrics
Morado,J Balvin,19,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/J-balvin-morado-lyrics
Bellaquita - Remix,Dalex,20,Panama,2020-02-21,2020-02-28,Negative,https://genius.com/Dalex-lenny-tavarez-and-anitta-bellaquita-remix-lyrics
Ignorantes,Bad Bunny,1,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Party En Mi Casa,Boza,2,Panama,2020-02-28,2020-03-06,Positive,https://genius.com/Boza-party-en-mi-casa-lyrics
La Difícil,Bad Bunny,3,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Bad-bunny-la-dificil-lyrics
Si Veo a Tu Mamá,Bad Bunny,4,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Bad-bunny-si-veo-a-tu-mama-lyrics
La Santa,Bad Bunny,5,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Bad-bunny-and-daddy-yankee-la-santa-lyrics
Vete,Bad Bunny,6,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Bad-bunny-vete-lyrics
Pero Ya No,Bad Bunny,7,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Bad-bunny-pero-ya-no-lyrics
René,Residente,8,Panama,2020-02-28,2020-03-06,Negative,https://genius.com/Residente-rene-lyrics
