song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Tusa,KAROL G,1,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Morado,J Balvin,2,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/J-balvin-morado-lyrics
Me Gusta,Shakira,3,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Shakira-and-anuel-aa-me-gusta-lyrics
Alocao (With Bad Gyal),Omar Montes,4,Spain,2020-01-24,2020-01-31,Positive,https://genius.com/Genius-october-2019-singles-release-calendar-annotated
Dance Monkey,Tones And I,5,Spain,2020-01-24,2020-01-31,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
+,Aitana,6,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Aitana-and-ana-guerra-lo-malo-lyrics
Hola - Remix,Dalex,7,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Blanco,J Balvin,8,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/J-balvin-blanco-lyrics
Se iluminaba,Fred De Palma,9,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Fred-de-palma-se-iluminaba-lyrics
Indeciso,Reik,10,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Reik-j-balvin-and-lalo-ebratt-indeciso-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,11,Spain,2020-01-24,2020-01-31,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Zorra,Bad Gyal,12,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Bad-gyal-zorra-lyrics
Vete,Bad Bunny,13,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Bad-bunny-vete-lyrics
Prendio (Remix),Rvfv,14,Spain,2020-01-24,2020-01-31,could not determine analysis,
Muévelo,Nicky Jam,15,Spain,2020-01-24,2020-01-31,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Whine Up,Nicky Jam,16,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Juro Que,ROSALÍA,17,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Rosalia-juro-que-lyrics
China,Anuel AA,18,Spain,2020-01-24,2020-01-31,could not determine analysis,
Sigues Con El,Dímelo Flow,19,Spain,2020-01-24,2020-01-31,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Easy - Remix,Jhay Cortez,20,Spain,2020-01-24,2020-01-31,could not determine analysis,
Tusa,KAROL G,1,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Morado,J Balvin,2,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/J-balvin-morado-lyrics
Me Gusta,Shakira,3,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Shakira-and-anuel-aa-me-gusta-lyrics
Alocao (With Bad Gyal),Omar Montes,4,Spain,2020-01-31,2020-02-07,Positive,https://genius.com/Genius-october-2019-singles-release-calendar-annotated
Dance Monkey,Tones And I,5,Spain,2020-01-31,2020-02-07,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Se iluminaba,Fred De Palma,6,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Fred-de-palma-se-iluminaba-lyrics
Hola - Remix,Dalex,7,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
+,Aitana,8,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Aitana-and-ana-guerra-lo-malo-lyrics
Indeciso,Reik,9,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Reik-j-balvin-and-lalo-ebratt-indeciso-lyrics
Blanco,J Balvin,10,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/J-balvin-blanco-lyrics
Muévelo,Nicky Jam,11,Spain,2020-01-31,2020-02-07,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Prendio (Remix),Rvfv,12,Spain,2020-01-31,2020-02-07,could not determine analysis,
RITMO (Bad Boys For Life),Black Eyed Peas,13,Spain,2020-01-31,2020-02-07,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Vete,Bad Bunny,14,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Bad-bunny-vete-lyrics
Sigues Con El,Dímelo Flow,15,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Zorra,Bad Gyal,16,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Bad-gyal-zorra-lyrics
Whine Up,Nicky Jam,17,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Easy - Remix,Jhay Cortez,18,Spain,2020-01-31,2020-02-07,could not determine analysis,
China,Anuel AA,19,Spain,2020-01-31,2020-02-07,could not determine analysis,
Fuera De Mi Mente,Lérica,20,Spain,2020-01-31,2020-02-07,Negative,https://genius.com/Lerica-and-juan-magan-fuera-de-mi-lyrics
Tusa,KAROL G,1,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Keii,Anuel AA,2,Spain,2020-02-07,2020-02-14,Positive,https://genius.com/Anuel-aa-keii-lyrics
Morado,J Balvin,3,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/J-balvin-morado-lyrics
Me Gusta,Shakira,4,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Shakira-and-anuel-aa-me-gusta-lyrics
Medusa,Jhay Cortez,5,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Jhay-cortez-anuel-aa-and-j-balvin-medusa-lyrics
Alocao (With Bad Gyal),Omar Montes,6,Spain,2020-02-07,2020-02-14,Positive,https://genius.com/Genius-october-2019-singles-release-calendar-annotated
Dance Monkey,Tones And I,7,Spain,2020-02-07,2020-02-14,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Se iluminaba,Fred De Palma,8,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Fred-de-palma-se-iluminaba-lyrics
Hola - Remix,Dalex,9,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
+,Aitana,10,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Aitana-and-ana-guerra-lo-malo-lyrics
Diosa,Myke Towers,11,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Myke-towers-diosa-lyrics
Muévelo,Nicky Jam,12,Spain,2020-02-07,2020-02-14,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Indeciso,Reik,13,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Reik-j-balvin-and-lalo-ebratt-indeciso-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,14,Spain,2020-02-07,2020-02-14,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Prendio (Remix),Rvfv,15,Spain,2020-02-07,2020-02-14,could not determine analysis,
Blanco,J Balvin,16,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/J-balvin-blanco-lyrics
Sigues Con El,Dímelo Flow,17,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Vete,Bad Bunny,18,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Bad-bunny-vete-lyrics
Whine Up,Nicky Jam,19,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
Zorra,Bad Gyal,20,Spain,2020-02-07,2020-02-14,Negative,https://genius.com/Bad-gyal-zorra-lyrics
Tusa,KAROL G,1,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Karol-g-and-nicki-minaj-tusa-lyrics
Keii,Anuel AA,2,Spain,2020-02-14,2020-02-21,Positive,https://genius.com/Anuel-aa-keii-lyrics
Diosa,Myke Towers,3,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Myke-towers-diosa-lyrics
Morado,J Balvin,4,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/J-balvin-morado-lyrics
Ignorantes,Bad Bunny,5,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Bad-bunny-and-sech-ignorantes-lyrics
Medusa,Jhay Cortez,6,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Jhay-cortez-anuel-aa-and-j-balvin-medusa-lyrics
Me Gusta,Shakira,7,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Shakira-and-anuel-aa-me-gusta-lyrics
Se iluminaba,Fred De Palma,8,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Fred-de-palma-se-iluminaba-lyrics
Dance Monkey,Tones And I,9,Spain,2020-02-14,2020-02-21,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Alocao (With Bad Gyal),Omar Montes,10,Spain,2020-02-14,2020-02-21,Positive,https://genius.com/Genius-october-2019-singles-release-calendar-annotated
+,Aitana,11,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Aitana-and-ana-guerra-lo-malo-lyrics
Hola - Remix,Dalex,12,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics
Muévelo,Nicky Jam,13,Spain,2020-02-14,2020-02-21,Positive,https://genius.com/Daddy-yankee-and-nicky-jam-muevelo-lyrics
Indeciso,Reik,14,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Reik-j-balvin-and-lalo-ebratt-indeciso-lyrics
Prendio (Remix),Rvfv,15,Spain,2020-02-14,2020-02-21,could not determine analysis,
Sigues Con El,Dímelo Flow,16,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Arcangel-dimelo-flow-and-sech-sigues-con-el-lyrics
Blanco,J Balvin,17,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/J-balvin-blanco-lyrics
Vete,Bad Bunny,18,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Bad-bunny-vete-lyrics
RITMO (Bad Boys For Life),Black Eyed Peas,19,Spain,2020-02-14,2020-02-21,Positive,https://genius.com/The-black-eyed-peas-and-j-balvin-ritmo-bad-boys-for-life-lyrics
Whine Up,Nicky Jam,20,Spain,2020-02-14,2020-02-21,Negative,https://genius.com/Nicky-jam-and-anuel-aa-whine-up-lyrics
