song_name,song_artist,track number,country,start date,end date,Analysis
Tusa,KAROL G,1,Spain,2020-02-21,2020-02-28,Negative
Diosa,Myke Towers,2,Spain,2020-02-21,2020-02-28,Negative
Tattoo,Rauw Alejandro,3,Spain,2020-02-21,2020-02-28,Negative
Keii,Anuel AA,4,Spain,2020-02-21,2020-02-28,Positive
Morado,J Balvin,5,Spain,2020-02-21,2020-02-28,Negative
Ignorantes,Bad Bunny,6,Spain,2020-02-21,2020-02-28,Negative
Medusa,Jhay Cortez,7,Spain,2020-02-21,2020-02-28,Negative
Me Gusta,Shakira,8,Spain,2020-02-21,2020-02-28,Negative
Se iluminaba,Fred De Palma,9,Spain,2020-02-21,2020-02-28,Negative
Muévelo,Nicky Jam,10,Spain,2020-02-21,2020-02-28,Positive
+,Aitana,11,Spain,2020-02-21,2020-02-28,Negative
Dance Monkey,Tones And I,12,Spain,2020-02-21,2020-02-28,Neutral
Prendio (Remix),Rvfv,13,Spain,2020-02-21,2020-02-28,could not determine analysis
Hola - Remix,Dalex,14,Spain,2020-02-21,2020-02-28,Negative
Alocao (With Bad Gyal),Omar Montes,15,Spain,2020-02-21,2020-02-28,Positive
Indeciso,Reik,16,Spain,2020-02-21,2020-02-28,Negative
Pegamos Tela,Lérica,17,Spain,2020-02-21,2020-02-28,Negative
Sigues Con El,Dímelo Flow,18,Spain,2020-02-21,2020-02-28,Negative
Blanco,J Balvin,19,Spain,2020-02-21,2020-02-28,Negative
Vete,Bad Bunny,20,Spain,2020-02-21,2020-02-28,Negative
