song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
How To Love (feat. GRAY),ALLY,1,Thailand,2020-02-21,2020-02-28,Positive,https://genius.com/Genius-romanizations-ally-how-to-love-romanized-lyrics
ดี๊ดี (UNEXPECTED),JAYLERR,2,Thailand,2020-02-21,2020-02-28,could not determine analysis,
ลงใจ,BOWKYLION,3,Thailand,2020-02-21,2020-02-28,Neutral,https://genius.com/Bowkylion-longjai-lyrics
ฝนตกไหม,Three Man Down,4,Thailand,2020-02-21,2020-02-28,could not determine analysis,
พักก่อน,MILLI,5,Thailand,2020-02-21,2020-02-28,Negative,https://genius.com/Milli-thai-rapper--lyrics
ON,BTS,6,Thailand,2020-02-21,2020-02-28,Negative,https://genius.com/Bts-on-lyrics
เลือกคนที่เขารักเรา,Three Man Down,7,Thailand,2020-02-21,2020-02-28,could not determine analysis,
WIP WUP,Mindset,8,Thailand,2020-02-21,2020-02-28,could not determine analysis,
นิโคติน,Mirrr,9,Thailand,2020-02-21,2020-02-28,could not determine analysis,
1%,Stamp,10,Thailand,2020-02-21,2020-02-28,Positive,https://genius.com/Dj-js-1-sample-abuser-lyrics
รักได้ป่าว,Gavin D,11,Thailand,2020-02-21,2020-02-28,could not determine analysis,
Yummy,Justin Bieber,12,Thailand,2020-02-21,2020-02-28,Positive,https://genius.com/Justin-bieber-yummy-lyrics
ใจสลาย,Whal &amp; Dolph,13,Thailand,2020-02-21,2020-02-28,could not determine analysis,
Psycho,Red Velvet,14,Thailand,2020-02-21,2020-02-28,Positive,https://genius.com/Red-velvet-psycho-lyrics
แอบดี (How to live without you),Stamp,15,Thailand,2020-02-21,2020-02-28,could not determine analysis,
หมอก,COLORPiTCH,16,Thailand,2020-02-21,2020-02-28,could not determine analysis,
Intentions (feat. Quavo),Justin Bieber,17,Thailand,2020-02-21,2020-02-28,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
อย่าหายไปไหนอีกเลย,Twopee Southside,18,Thailand,2020-02-21,2020-02-28,could not determine analysis,
ON (Feat. Sia),BTS,19,Thailand,2020-02-21,2020-02-28,Negative,https://genius.com/Genius-english-translations-bts-on-remix-ft-sia-english-translation-lyrics
A Rocket to the Moon,Gavin D,20,Thailand,2020-02-21,2020-02-28,Positive,https://genius.com/Rebecca-st-james-we-dont-need-it-lyrics
How To Love (feat. GRAY),ALLY,1,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Genius-romanizations-ally-how-to-love-romanized-lyrics
ดี๊ดี (UNEXPECTED),JAYLERR,2,Thailand,2020-02-28,2020-03-06,could not determine analysis,
ฝนตกไหม,Three Man Down,3,Thailand,2020-02-28,2020-03-06,could not determine analysis,
ลงใจ,BOWKYLION,4,Thailand,2020-02-28,2020-03-06,Neutral,https://genius.com/Bowkylion-longjai-lyrics
นิโคติน,Mirrr,5,Thailand,2020-02-28,2020-03-06,could not determine analysis,
คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,6,Thailand,2020-02-28,2020-03-06,could not determine analysis,
พักก่อน,MILLI,7,Thailand,2020-02-28,2020-03-06,Negative,https://genius.com/Milli-thai-rapper--lyrics
เลือกคนที่เขารักเรา,Three Man Down,8,Thailand,2020-02-28,2020-03-06,could not determine analysis,
WIP WUP,Mindset,9,Thailand,2020-02-28,2020-03-06,could not determine analysis,
รักได้ป่าว,Gavin D,10,Thailand,2020-02-28,2020-03-06,could not determine analysis,
1%,Stamp,11,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Dj-js-1-sample-abuser-lyrics
Yummy,Justin Bieber,12,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Justin-bieber-yummy-lyrics
แอบดี (How to live without you),Stamp,13,Thailand,2020-02-28,2020-03-06,could not determine analysis,
Psycho,Red Velvet,14,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Red-velvet-psycho-lyrics
ON,BTS,15,Thailand,2020-02-28,2020-03-06,Negative,https://genius.com/Bts-on-lyrics
หมอก,COLORPiTCH,16,Thailand,2020-02-28,2020-03-06,could not determine analysis,
Intentions (feat. Quavo),Justin Bieber,17,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
ถ้าฉันเป็นเขา,Indigo,18,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Indigo-th-tah-chun-bpen-kao-lyrics
A Rocket to the Moon,Gavin D,19,Thailand,2020-02-28,2020-03-06,Positive,https://genius.com/Rebecca-st-james-we-dont-need-it-lyrics
ภาวนา,MEYOU,20,Thailand,2020-02-28,2020-03-06,could not determine analysis,
ลงใจ,BOWKYLION,1,Thailand,2020-03-06,2020-03-13,Neutral,https://genius.com/Bowkylion-longjai-lyrics
ดี๊ดี (UNEXPECTED),JAYLERR,2,Thailand,2020-03-06,2020-03-13,could not determine analysis,
ฝนตกไหม,Three Man Down,3,Thailand,2020-03-06,2020-03-13,could not determine analysis,
Kick It,NCT 127,4,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Nct-127-kick-it-lyrics
คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,5,Thailand,2020-03-06,2020-03-13,could not determine analysis,
นิโคติน,Mirrr,6,Thailand,2020-03-06,2020-03-13,could not determine analysis,
How To Love (feat. GRAY),ALLY,7,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Genius-romanizations-ally-how-to-love-romanized-lyrics
พักก่อน,MILLI,8,Thailand,2020-03-06,2020-03-13,Negative,https://genius.com/Milli-thai-rapper--lyrics
เลือกคนที่เขารักเรา,Three Man Down,9,Thailand,2020-03-06,2020-03-13,could not determine analysis,
รักได้ป่าว,Gavin D,10,Thailand,2020-03-06,2020-03-13,could not determine analysis,
WIP WUP,Mindset,11,Thailand,2020-03-06,2020-03-13,could not determine analysis,
1%,Stamp,12,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Dj-js-1-sample-abuser-lyrics
แอบดี (How to live without you),Stamp,13,Thailand,2020-03-06,2020-03-13,could not determine analysis,
Psycho,Red Velvet,14,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Red-velvet-psycho-lyrics
Yummy,Justin Bieber,15,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Justin-bieber-yummy-lyrics
หมอก,COLORPiTCH,16,Thailand,2020-03-06,2020-03-13,could not determine analysis,
Intentions (feat. Quavo),Justin Bieber,17,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
ถ้าฉันเป็นเขา,Indigo,18,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Indigo-th-tah-chun-bpen-kao-lyrics
ภาวนา,MEYOU,19,Thailand,2020-03-06,2020-03-13,could not determine analysis,
A Rocket to the Moon,Gavin D,20,Thailand,2020-03-06,2020-03-13,Positive,https://genius.com/Rebecca-st-james-we-dont-need-it-lyrics
นิโคติน,Mirrr,1,Thailand,2020-03-13,2020-03-20,could not determine analysis,
ลงใจ,BOWKYLION,2,Thailand,2020-03-13,2020-03-20,Neutral,https://genius.com/Bowkylion-longjai-lyrics
คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,3,Thailand,2020-03-13,2020-03-20,could not determine analysis,
ฝนตกไหม,Three Man Down,4,Thailand,2020-03-13,2020-03-20,could not determine analysis,
ดี๊ดี (UNEXPECTED),JAYLERR,5,Thailand,2020-03-13,2020-03-20,could not determine analysis,
WANNABE,ITZY,6,Thailand,2020-03-13,2020-03-20,Negative,https://genius.com/Itzy-wannabe-lyrics
