song_name,song_artist,track number,country,start date,end date,Analysis
คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,1,Thailand,2020-03-20,2020-03-27,could not determine analysis
วาฬเกยตื้น,GUNGUN,2,Thailand,2020-03-20,2020-03-27,Neutral
นิโคติน,Mirrr,3,Thailand,2020-03-20,2020-03-27,could not determine analysis
ลงใจ,BOWKYLION,4,Thailand,2020-03-20,2020-03-27,Neutral
ฝนตกไหม,Three Man Down,5,Thailand,2020-03-20,2020-03-27,could not determine analysis
คิดถึงแต่,BOWKYLION,6,Thailand,2020-03-20,2020-03-27,Neutral
ดี๊ดี (UNEXPECTED),JAYLERR,7,Thailand,2020-03-20,2020-03-27,could not determine analysis
คั่นกู - เพลงประกอบซีรีส์ เพราะเราคู่กัน,ไบร์ท วชิรวิชญ์,8,Thailand,2020-03-20,2020-03-27,could not determine analysis
How To Love (feat. GRAY),ALLY,9,Thailand,2020-03-20,2020-03-27,Positive
WANNABE,ITZY,10,Thailand,2020-03-20,2020-03-27,could not determine analysis
เลือกคนที่เขารักเรา,Three Man Down,11,Thailand,2020-03-20,2020-03-27,could not determine analysis
พักก่อน,MILLI,12,Thailand,2020-03-20,2020-03-27,Negative
แอบดี (How to live without you),Stamp,13,Thailand,2020-03-20,2020-03-27,could not determine analysis
รักได้ป่าว,Gavin D,14,Thailand,2020-03-20,2020-03-27,could not determine analysis
ใกล้,Scrubb,15,Thailand,2020-03-20,2020-03-27,could not determine analysis
1%,Stamp,16,Thailand,2020-03-20,2020-03-27,Positive
หรือฉันคิดไปเอง,Zommarie,17,Thailand,2020-03-20,2020-03-27,could not determine analysis
Intentions (feat. Quavo),Justin Bieber,18,Thailand,2020-03-20,2020-03-27,Positive
Psycho,Red Velvet,19,Thailand,2020-03-20,2020-03-27,Positive
ถ้าฉันเป็นเขา,Indigo,20,Thailand,2020-03-20,2020-03-27,could not determine analysis
คนเราจะแอบรักใครสักคนได้นานแค่ไหน,Rooftop,10,Thailand,2020-03-27,2020-04-03,Positive
ภาวนา,MEYOU,20,Thailand,2020-03-27,2020-04-03,could not determine analysis
ทุกอย่าง,Scrubb,17,Thailand,2020-04-03,2020-04-10,could not determine analysis
A Rocket to the Moon,Gavin D,19,Thailand,2020-04-03,2020-04-10,Positive
Blueberry Faygo,Lil Mosey,11,Thailand,2020-04-10,2020-04-17,Negative
death bed (coffee for your head) (feat. beabadoobee),Powfu,17,Thailand,2020-04-10,2020-04-17,Positive
Say So,Doja Cat,20,Thailand,2020-04-10,2020-04-17,Positive
