song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
Dance Monkey,Tones And I,1,United kingdom,2019-11-29,2019-12-06,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Before You Go,Lewis Capaldi,2,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/Lewis-capaldi-before-you-go-lyrics
All I Want for Christmas Is You,Mariah Carey,3,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,4,United kingdom,2019-11-29,2019-12-06,could not determine analysis,
Last Christmas,Wham!,5,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Wham-last-christmas-lyrics
Don't Start Now,Dua Lipa,6,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
ROXANNE,Arizona Zervas,7,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Heartless,The Weeknd,8,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/The-weeknd-heartless-lyrics
everything i wanted,Billie Eilish,9,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Rockin' Around The Christmas Tree,Brenda Lee,10,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Brenda-lee-rockin-around-the-christmas-tree-lyrics
Santa Tell Me,Ariana Grande,11,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Ariana-grande-santa-tell-me-lyrics
Ride It,Regard,12,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/Regard-ride-it-lyrics
It's Beginning to Look a Lot like Christmas,Michael Bublé,13,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics
Someone You Loved,Lewis Capaldi,14,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Fairytale of New York (feat. Kirsty MacColl),The Pogues,15,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/The-pogues-fairytale-of-new-york-lyrics
Do They Know It's Christmas? - 1984 Version,Band Aid,16,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/The-scp-foundation-scp-series-annotated
hot girl bummer,blackbear,17,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/Blackbear-hot-girl-bummer-lyrics
"Down Like That (feat. Rick Ross, Lil Baby &amp; S-X)",KSI,18,United kingdom,2019-11-29,2019-12-06,could not determine analysis,
Lose Control,MEDUZA,19,United kingdom,2019-11-29,2019-12-06,Positive,https://genius.com/Meduza-becky-hill-and-goodboys-lose-control-lyrics
Blinding Lights,The Weeknd,20,United kingdom,2019-11-29,2019-12-06,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
Dance Monkey,Tones And I,1,United kingdom,2019-12-06,2019-12-13,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
All I Want for Christmas Is You,Mariah Carey,2,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Last Christmas,Wham!,3,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Wham-last-christmas-lyrics
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,4,United kingdom,2019-12-06,2019-12-13,could not determine analysis,
ROXANNE,Arizona Zervas,5,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Before You Go,Lewis Capaldi,6,United kingdom,2019-12-06,2019-12-13,Negative,https://genius.com/Lewis-capaldi-before-you-go-lyrics
Don't Start Now,Dua Lipa,7,United kingdom,2019-12-06,2019-12-13,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Rockin' Around The Christmas Tree,Brenda Lee,8,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Brenda-lee-rockin-around-the-christmas-tree-lyrics
It's Beginning to Look a Lot like Christmas,Michael Bublé,9,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics
Someone You Loved,Lewis Capaldi,10,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
Fairytale of New York (feat. Kirsty MacColl),The Pogues,11,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/The-pogues-fairytale-of-new-york-lyrics
Santa Tell Me,Ariana Grande,12,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Ariana-grande-santa-tell-me-lyrics
Do They Know It's Christmas? - 1984 Version,Band Aid,13,United kingdom,2019-12-06,2019-12-13,Negative,https://genius.com/The-scp-foundation-scp-series-annotated
Lucid Dreams,Juice WRLD,14,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Juice-wrld-lucid-dreams-lyrics
It's the Most Wonderful Time of the Year,Andy Williams,15,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Andy-williams-its-the-most-wonderful-time-of-the-year-lyrics
everything i wanted,Billie Eilish,16,United kingdom,2019-12-06,2019-12-13,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Adore You,Harry Styles,17,United kingdom,2019-12-06,2019-12-13,Positive,https://genius.com/Harry-styles-adore-you-lyrics
Ride It,Regard,18,United kingdom,2019-12-06,2019-12-13,Negative,https://genius.com/Regard-ride-it-lyrics
Merry Christmas Everyone,Shakin' Stevens,19,United kingdom,2019-12-06,2019-12-13,could not determine analysis,
Driving Home for Christmas - 2019 Remaster,Chris Rea,20,United kingdom,2019-12-06,2019-12-13,Negative,https://genius.com/Elliot-rodger-my-twisted-world-the-story-of-elliot-rodger-part-6-3-annotated
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,1,United kingdom,2019-12-13,2019-12-20,could not determine analysis,
All I Want for Christmas Is You,Mariah Carey,2,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Dance Monkey,Tones And I,3,United kingdom,2019-12-13,2019-12-20,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
Last Christmas,Wham!,4,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Wham-last-christmas-lyrics
ROXANNE,Arizona Zervas,5,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Before You Go,Lewis Capaldi,6,United kingdom,2019-12-13,2019-12-20,Negative,https://genius.com/Lewis-capaldi-before-you-go-lyrics
Don't Start Now,Dua Lipa,7,United kingdom,2019-12-13,2019-12-20,Negative,https://genius.com/Dua-lipa-dont-start-now-lyrics
Audacity (feat. Headie One),Stormzy,8,United kingdom,2019-12-13,2019-12-20,Negative,https://genius.com/Stormzy-audacity-lyrics
Rockin' Around The Christmas Tree,Brenda Lee,9,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Brenda-lee-rockin-around-the-christmas-tree-lyrics
Lessons,Stormzy,10,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Stormzy-lessons-lyrics
Fairytale of New York (feat. Kirsty MacColl),The Pogues,11,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/The-pogues-fairytale-of-new-york-lyrics
Adore You,Harry Styles,12,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Harry-styles-adore-you-lyrics
It's Beginning to Look a Lot like Christmas,Michael Bublé,13,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics
Do They Know It's Christmas? - 1984 Version,Band Aid,14,United kingdom,2019-12-13,2019-12-20,Negative,https://genius.com/The-scp-foundation-scp-series-annotated
Santa Tell Me,Ariana Grande,15,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Ariana-grande-santa-tell-me-lyrics
It's the Most Wonderful Time of the Year,Andy Williams,16,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Andy-williams-its-the-most-wonderful-time-of-the-year-lyrics
Vossi Bop,Stormzy,17,United kingdom,2019-12-13,2019-12-20,Negative,https://genius.com/Stormzy-vossi-bop-lyrics
Lights Up,Harry Styles,18,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Harry-styles-lights-up-lyrics
Merry Christmas Everyone,Shakin' Stevens,19,United kingdom,2019-12-13,2019-12-20,could not determine analysis,
Someone You Loved,Lewis Capaldi,20,United kingdom,2019-12-13,2019-12-20,Positive,https://genius.com/Lewis-capaldi-someone-you-loved-lyrics
All I Want for Christmas Is You,Mariah Carey,1,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
Last Christmas,Wham!,2,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/Wham-last-christmas-lyrics
Rockin' Around The Christmas Tree,Brenda Lee,3,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/Brenda-lee-rockin-around-the-christmas-tree-lyrics
It's Beginning to Look a Lot like Christmas,Michael Bublé,4,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/Michael-buble-its-beginning-to-look-a-lot-like-christmas-lyrics
Fairytale of New York (feat. Kirsty MacColl),The Pogues,5,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/The-pogues-fairytale-of-new-york-lyrics
Do They Know It's Christmas? - 1984 Version,Band Aid,6,United kingdom,2019-12-20,2019-12-27,Negative,https://genius.com/The-scp-foundation-scp-series-annotated
It's the Most Wonderful Time of the Year,Andy Williams,7,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/Andy-williams-its-the-most-wonderful-time-of-the-year-lyrics
Santa Tell Me,Ariana Grande,8,United kingdom,2019-12-20,2019-12-27,Positive,https://genius.com/Ariana-grande-santa-tell-me-lyrics
Merry Christmas Everyone,Shakin' Stevens,9,United kingdom,2019-12-20,2019-12-27,could not determine analysis,
