song_name,song_artist,track number,country,start date,end date,Analysis
The Box,Roddy Ricch,1,United kingdom,2020-01-17,2020-01-24,Negative
Godzilla (feat. Juice WRLD),Eminem,2,United kingdom,2020-01-17,2020-01-24,Neutral
Life Is Good (feat. Drake),Future,3,United kingdom,2020-01-17,2020-01-24,Positive
Dance Monkey,Tones And I,4,United kingdom,2020-01-17,2020-01-24,Neutral
Own It (feat. Ed Sheeran &amp; Burna Boy),Stormzy,5,United kingdom,2020-01-17,2020-01-24,could not determine analysis
ROXANNE,Arizona Zervas,6,United kingdom,2020-01-17,2020-01-24,Positive
Blinding Lights,The Weeknd,7,United kingdom,2020-01-17,2020-01-24,Negative
Before You Go,Lewis Capaldi,8,United kingdom,2020-01-17,2020-01-24,Negative
Ei8ht Mile (feat. Aitch),DigDat,9,United kingdom,2020-01-17,2020-01-24,Positive
Don't Start Now,Dua Lipa,10,United kingdom,2020-01-17,2020-01-24,Negative
Yummy,Justin Bieber,11,United kingdom,2020-01-17,2020-01-24,Positive
Those Kinda Nights (feat. Ed Sheeran),Eminem,12,United kingdom,2020-01-17,2020-01-24,Positive
everything i wanted,Billie Eilish,13,United kingdom,2020-01-17,2020-01-24,Negative
Someone You Loved,Lewis Capaldi,14,United kingdom,2020-01-17,2020-01-24,Positive
Adore You,Harry Styles,15,United kingdom,2020-01-17,2020-01-24,Positive
Lose Control,MEDUZA,16,United kingdom,2020-01-17,2020-01-24,Positive
Unaccommodating (feat. Young M.A),Eminem,17,United kingdom,2020-01-17,2020-01-24,Negative
Darkness,Eminem,18,United kingdom,2020-01-17,2020-01-24,could not determine analysis
Falling,Trevor Daniel,19,United kingdom,2020-01-17,2020-01-24,Positive
"You Gon’ Learn (feat. Royce Da 5'9"" &amp; White Gold)",Eminem,20,United kingdom,2020-01-17,2020-01-24,could not determine analysis
