song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
The Box,Roddy Ricch,1,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
ROXANNE,Arizona Zervas,2,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Circles,Post Malone,3,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Post-malone-circles-lyrics
BOP,DaBaby,4,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Dababy-bop-lyrics
Falling,Trevor Daniel,5,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Trevor-daniel-falling-lyrics
OUT WEST (feat. Young Thug),JACKBOYS,6,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Genius-traductions-francaises-jackboys-out-west-ft-young-thug-traduction-francaise-lyrics
Bandit (with YoungBoy Never Broke Again),Juice WRLD,7,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Spotify-new-music-friday-10-04-19-annotated
Futsal Shuffle 2020,Lil Uzi Vert,8,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Lil-uzi-vert-futsal-shuffle-2020-lyrics
Dance Monkey,Tones And I,9,United states,2019-12-27,2020-01-03,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
HIGHEST IN THE ROOM (feat. ROSALÍA &amp; Lil Baby) - REMIX,Travis Scott,10,United states,2019-12-27,2020-01-03,could not determine analysis,
everything i wanted,Billie Eilish,11,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Billie-eilish-everything-i-wanted-lyrics
Adore You,Harry Styles,12,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Harry-styles-adore-you-lyrics
Ballin' (with Roddy Ricch),Mustard,13,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Womp-womp-womp-womp-she-give-me-what-i-wanna-my-trash-favorite-songs-of-2019-annotated
Suicidal,YNW Melly,14,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Ynw-melly-suicidal-lyrics
Had Enough (feat. Quavo &amp; Offset),Don Toliver,15,United states,2019-12-27,2020-01-03,could not determine analysis,
Blinding Lights,The Weeknd,16,United states,2019-12-27,2020-01-03,Negative,https://genius.com/The-weeknd-blinding-lights-lyrics
My Oh My (feat. DaBaby),Camila Cabello,17,United states,2019-12-27,2020-01-03,Neutral,https://genius.com/Camila-cabello-my-oh-my-ft-dababy-and-selena-gomez-lyrics
WHAT TO DO? (feat. Don Toliver),JACKBOYS,18,United states,2019-12-27,2020-01-03,Negative,https://genius.com/Jackboys-what-to-do-lyrics
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,19,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Jorja-smith-virtual-reality-revolutionizes-concerts-next-up-is-post-malone-annotated
HIGHEST IN THE ROOM,Travis Scott,20,United states,2019-12-27,2020-01-03,Positive,https://genius.com/Travis-scott-highest-in-the-room-lyrics
The Box,Roddy Ricch,1,United states,2020-01-03,2020-01-10,Negative,https://genius.com/Roddy-ricch-the-box-lyrics
ROXANNE,Arizona Zervas,2,United states,2020-01-03,2020-01-10,Positive,https://genius.com/Arizona-zervas-roxanne-lyrics
Yummy,Justin Bieber,3,United states,2020-01-03,2020-01-10,Positive,https://genius.com/Justin-bieber-yummy-lyrics
Circles,Post Malone,4,United states,2020-01-03,2020-01-10,Positive,https://genius.com/Post-malone-circles-lyrics
BOP,DaBaby,5,United states,2020-01-03,2020-01-10,Negative,https://genius.com/Dababy-bop-lyrics
Falling,Trevor Daniel,6,United states,2020-01-03,2020-01-10,Positive,https://genius.com/Trevor-daniel-falling-lyrics
Dance Monkey,Tones And I,7,United states,2020-01-03,2020-01-10,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
