song_name,song_artist,track number,country,start date,end date,Analysis
Blinding Lights,The Weeknd,1,United states,2020-03-27,2020-04-03,Negative
The Box,Roddy Ricch,2,United states,2020-03-27,2020-04-03,Negative
Blueberry Faygo,Lil Mosey,3,United states,2020-03-27,2020-04-03,Negative
Turks (feat. Travis Scott),NAV,4,United states,2020-03-27,2020-04-03,Positive
Don't Start Now,Dua Lipa,5,United states,2020-03-27,2020-04-03,Negative
Say So,Doja Cat,6,United states,2020-03-27,2020-04-03,Positive
Roses - Imanbek Remix,SAINt JHN,7,United states,2020-03-27,2020-04-03,Negative
WHATS POPPIN,Jack Harlow,8,United states,2020-03-27,2020-04-03,Negative
Savage,Megan Thee Stallion,9,United states,2020-03-27,2020-04-03,Negative
Intentions (feat. Quavo),Justin Bieber,10,United states,2020-03-27,2020-04-03,Positive
In Your Eyes,The Weeknd,11,United states,2020-03-27,2020-04-03,Negative
death bed (coffee for your head) (feat. beabadoobee),Powfu,12,United states,2020-03-27,2020-04-03,Positive
BELIEVE IT,PARTYNEXTDOOR,13,United states,2020-03-27,2020-04-03,Positive
Break My Heart,Dua Lipa,14,United states,2020-03-27,2020-04-03,Positive
High Fashion (feat. Mustard),Roddy Ricch,15,United states,2020-03-27,2020-04-03,Negative
ROXANNE,Arizona Zervas,16,United states,2020-03-27,2020-04-03,Positive
Sunday Best,Surfaces,17,United states,2020-03-27,2020-04-03,Positive
Circles,Post Malone,18,United states,2020-03-27,2020-04-03,Positive
Falling,Trevor Daniel,19,United states,2020-03-27,2020-04-03,Positive
Walk Em Down (feat. Roddy Ricch),NLE Choppa,20,United states,2020-03-27,2020-04-03,Negative
