song_name,song_artist,track number,country,start date,end date,Analysis,Lyrics
ON,BTS,1,Vietnam,2020-02-21,2020-02-28,Negative,https://genius.com/Bts-on-lyrics
ON (Feat. Sia),BTS,2,Vietnam,2020-02-21,2020-02-28,Negative,https://genius.com/Genius-english-translations-bts-on-remix-ft-sia-english-translation-lyrics
Filter,BTS,3,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-filter-lyrics
Friends,BTS,4,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-jimin-bts-v-friends-lyrics
00:00 (Zero O’Clock),BTS,5,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-00-00-zero-oclock-lyrics
My Time,BTS,6,Vietnam,2020-02-21,2020-02-28,Negative,https://genius.com/Bts-my-time-lyrics
Louder than bombs,BTS,7,Vietnam,2020-02-21,2020-02-28,Negative,https://genius.com/Bts-louder-than-bombs-lyrics
Black Swan,BTS,8,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-black-swan-lyrics
We are Bulletproof : the Eternal,BTS,9,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-we-are-bulletproof-the-eternal-lyrics
Inner Child,BTS,10,Vietnam,2020-02-21,2020-02-28,Neutral,https://genius.com/Bts-inner-child-lyrics
Moon,BTS,11,Vietnam,2020-02-21,2020-02-28,Neutral,https://genius.com/Bts-moon-lyrics
UGH!,BTS,12,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-ugh-lyrics
Respect,BTS,13,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-respect-lyrics
Boy With Luv (feat. Halsey),BTS,14,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Genius-nederlandse-vertalingen-bts-boy-with-luv-ft-halsey-nederlandse-vertalingen-lyrics
Outro : Ego,BTS,15,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-outro-ego-lyrics
Interlude : Shadow,BTS,16,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-interlude-shadow-lyrics
Intentions (feat. Quavo),Justin Bieber,17,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Justin-bieber-and-quavo-intentions-lyrics
Lối Nhỏ,Đen,18,Vietnam,2020-02-21,2020-02-28,Neutral,https://genius.com/En-loi-nho-lyrics
Make It Right,BTS,19,Vietnam,2020-02-21,2020-02-28,Positive,https://genius.com/Bts-make-it-right-lyrics
Dance Monkey,Tones And I,20,Vietnam,2020-02-21,2020-02-28,Neutral,https://genius.com/Tones-and-i-dance-monkey-lyrics
ON,BTS,1,Vietnam,2020-02-28,2020-03-06,Negative,https://genius.com/Bts-on-lyrics
ON (Feat. Sia),BTS,2,Vietnam,2020-02-28,2020-03-06,Negative,https://genius.com/Genius-english-translations-bts-on-remix-ft-sia-english-translation-lyrics
Black Swan,BTS,3,Vietnam,2020-02-28,2020-03-06,Positive,https://genius.com/Bts-black-swan-lyrics
Filter,BTS,4,Vietnam,2020-02-28,2020-03-06,Positive,https://genius.com/Bts-filter-lyrics
