song_name,song_artist,track number,country,start date,end date,Analysis
Ke Cap Gap Ba Gia (feat. BINZ),Hoang Thuy Linh,1,Vietnam,2020-04-17,2020-04-24,could not determine analysis
Vùng Ký Ức,Chillies,2,Vietnam,2020-04-17,2020-04-24,Negative
death bed (coffee for your head) (feat. beabadoobee),Powfu,3,Vietnam,2020-04-17,2020-04-24,Positive
Mascara,Chillies,4,Vietnam,2020-04-17,2020-04-24,Neutral
Lối Nhỏ,Đen,5,Vietnam,2020-04-17,2020-04-24,Neutral
Intentions (feat. Quavo),Justin Bieber,6,Vietnam,2020-04-17,2020-04-24,Positive
Say So,Doja Cat,7,Vietnam,2020-04-17,2020-04-24,Positive
Señorita,Shawn Mendes,8,Vietnam,2020-04-17,2020-04-24,Positive
Don't Start Now,Dua Lipa,9,Vietnam,2020-04-17,2020-04-24,Negative
Memories,Maroon 5,10,Vietnam,2020-04-17,2020-04-24,Positive
Bài Này Chill Phết,Đen,11,Vietnam,2020-04-17,2020-04-24,Positive
Break My Heart,Dua Lipa,12,Vietnam,2020-04-17,2020-04-24,Positive
ON,BTS,13,Vietnam,2020-04-17,2020-04-24,Negative
Dance Monkey,Tones And I,14,Vietnam,2020-04-17,2020-04-24,Neutral
Có Em Đời Bỗng Vui,Chillies,15,Vietnam,2020-04-17,2020-04-24,Negative
Thanh Xuan,Da LAB,16,Vietnam,2020-04-17,2020-04-24,Negative
Duyen Am,Hoang Thuy Linh,17,Vietnam,2020-04-17,2020-04-24,Neutral
Boy With Luv (feat. Halsey),BTS,18,Vietnam,2020-04-17,2020-04-24,Positive
bad guy,Billie Eilish,19,Vietnam,2020-04-17,2020-04-24,Negative
Can We Kiss Forever?,Kina,20,Vietnam,2020-04-17,2020-04-24,Negative
Play Date,Melanie Martinez,9,Vietnam,2020-04-24,2020-05-01,Positive
Someone You Loved,Lewis Capaldi,20,Vietnam,2020-04-24,2020-05-01,Positive
eight(Prod.&amp;Feat. SUGA of BTS),IU,1,Vietnam,2020-05-01,2020-05-08,could not determine analysis
ĐÃ TỪNG LÀ,Vũ.,10,Vietnam,2020-05-01,2020-05-08,Positive
Stuck with U (with Justin Bieber),Ariana Grande,3,Vietnam,2020-05-08,2020-05-15,Negative
Be Kind (with Halsey),Marshmello,10,Vietnam,2020-05-08,2020-05-15,Positive
