Negative,Positive,Neutral,Start Date,End Date,Total cases
4,5,3,2019-11-29,2019-12-06,0
5,4,4,2019-12-06,2019-12-13,0
5,3,5,2019-12-13,2019-12-20,0
6,3,2,2019-12-20,2019-12-27,0
5,3,4,2019-12-27,2020-01-03,0
5,4,3,2020-01-03,2020-01-10,0
5,3,3,2020-01-10,2020-01-17,0
5,3,3,2020-01-17,2020-01-24,0
5,4,3,2020-01-24,2020-01-31,0
7,2,2,2020-01-31,2020-02-07,0
5,3,2,2020-02-07,2020-02-14,0
6,3,2,2020-02-14,2020-02-21,0
5,3,3,2020-02-21,2020-02-28,1
6,3,2,2020-02-28,2020-03-06,4
6,2,2,2020-03-06,2020-03-13,38
6,2,2,2020-03-13,2020-03-20,372
7,2,2,2020-03-20,2020-03-27,2554
6,2,2,2020-03-27,2020-04-03,6836
7,1,2,2020-04-03,2020-04-10,16170
6,1,2,2020-04-10,2020-04-17,28320
7,1,2,2020-04-17,2020-04-24,45757
7,1,2,2020-04-24,2020-05-01,79218
6,1,3,2020-05-01,2020-05-08,125218
7,1,2,2020-05-08,2020-05-15,189157
