Negative,Positive,Neutral,Start Date,End Date,Total cases
9,10,1,2019-11-29,2019-12-06,0
6,9,5,2019-12-06,2019-12-13,0
7,9,3,2019-12-13,2019-12-20,0
7,10,1,2019-12-20,2019-12-27,0
11,5,2,2019-12-27,2020-01-03,0
9,8,2,2020-01-03,2020-01-10,0
9,8,2,2020-01-10,2020-01-17,0
10,7,2,2020-01-17,2020-01-24,0
9,8,3,2020-01-24,2020-01-31,0
9,8,3,2020-01-31,2020-02-07,0
9,8,3,2020-02-07,2020-02-14,0
8,9,3,2020-02-14,2020-02-21,0
11,7,2,2020-02-21,2020-02-28,0
9,8,2,2020-02-28,2020-03-06,0
10,8,2,2020-03-06,2020-03-13,7
10,8,2,2020-03-13,2020-03-20,92
11,6,2,2020-03-20,2020-03-27,242
10,8,2,2020-03-27,2020-04-03,422
10,8,2,2020-04-03,2020-04-10,593
9,9,2,2020-04-10,2020-04-17,747
8,10,2,2020-04-17,2020-04-24,1024
9,10,1,2020-04-24,2020-05-01,1447
7,12,1,2020-05-01,2020-05-08,1778
8,10,1,2020-05-08,2020-05-15,2069
