Negative,Positive,Neutral,Start Date,End Date,Total cases
8,8,3,2019-11-29,2019-12-06,0
6,10,3,2019-12-06,2019-12-13,0
5,11,3,2019-12-13,2019-12-20,0
5,12,2,2019-12-20,2019-12-27,0
5,11,3,2019-12-27,2020-01-03,0
5,10,3,2020-01-03,2020-01-10,0
6,10,3,2020-01-10,2020-01-17,0
6,10,3,2020-01-17,2020-01-24,548
6,10,3,2020-01-24,2020-01-31,6087
6,10,3,2020-01-31,2020-02-07,27440
6,11,3,2020-02-07,2020-02-14,44759
8,9,2,2020-02-14,2020-02-21,74619
8,10,1,2020-02-21,2020-02-28,78166
8,9,2,2020-02-28,2020-03-06,80386
8,9,2,2020-03-06,2020-03-13,80921
9,7,3,2020-03-13,2020-03-20,81102
8,7,3,2020-03-20,2020-03-27,81661
8,8,3,2020-03-27,2020-04-03,82361
6,10,3,2020-04-03,2020-04-10,82809
7,10,2,2020-04-10,2020-04-17,83356
8,9,2,2020-04-17,2020-04-24,83868
7,9,3,2020-04-24,2020-05-01,83940
4,10,3,2020-05-01,2020-05-08,83968
4,11,2,2020-05-08,2020-05-15,84021
