Negative,Positive,Neutral,Start Date,End Date,Total cases
9,8,2,2019-11-29,2019-12-06,0
8,10,2,2019-12-06,2019-12-13,0
8,10,2,2019-12-13,2019-12-20,0
5,11,2,2019-12-20,2019-12-27,0
9,9,2,2019-12-27,2020-01-03,0
10,8,2,2020-01-03,2020-01-10,0
11,7,2,2020-01-10,2020-01-17,0
11,7,2,2020-01-17,2020-01-24,0
10,7,3,2020-01-24,2020-01-31,0
9,8,3,2020-01-31,2020-02-07,0
9,8,3,2020-02-07,2020-02-14,0
8,9,3,2020-02-14,2020-02-21,0
10,7,3,2020-02-21,2020-02-28,0
11,7,2,2020-02-28,2020-03-06,2
11,6,3,2020-03-06,2020-03-13,16
11,5,2,2020-03-13,2020-03-20,258
11,5,1,2020-03-20,2020-03-27,404
11,6,1,2020-03-27,2020-04-03,779
10,6,0,2020-04-03,2020-04-10,1185
11,7,1,2020-04-10,2020-04-17,1400
11,7,1,2020-04-17,2020-04-24,1559
9,10,1,2020-04-24,2020-05-01,1666
10,9,1,2020-05-01,2020-05-08,1713
11,8,1,2020-05-08,2020-05-15,1751
