Negative,Positive,Neutral,Start Date,End Date,Total cases
17,2,1,2019-11-29,2019-12-06,0
15,3,2,2019-12-06,2019-12-13,0
14,4,2,2019-12-13,2019-12-20,0
12,6,2,2019-12-20,2019-12-27,0
13,5,1,2019-12-27,2020-01-03,0
15,4,1,2020-01-03,2020-01-10,0
16,3,1,2020-01-10,2020-01-17,0
12,6,2,2020-01-17,2020-01-24,0
15,3,2,2020-01-24,2020-01-31,5
16,1,2,2020-01-31,2020-02-07,6
16,3,1,2020-02-07,2020-02-14,11
15,4,1,2020-02-14,2020-02-21,12
13,4,2,2020-02-21,2020-02-28,18
13,3,3,2020-02-28,2020-03-06,288
11,7,0,2020-03-06,2020-03-13,2293
13,6,0,2020-03-13,2020-03-20,9124
14,4,1,2020-03-20,2020-03-27,25600
14,5,0,2020-03-27,2020-04-03,57749
12,6,1,2020-04-03,2020-04-10,113959
12,7,0,2020-04-10,2020-04-17,134582
11,8,0,2020-04-17,2020-04-24,157125
9,10,0,2020-04-24,2020-05-01,166541
9,10,0,2020-05-01,2020-05-08,174224
11,8,0,2020-05-08,2020-05-15,178184
