Negative,Positive,Neutral,Start Date,End Date,Total cases
15,4,1,2019-11-29,2019-12-06,0
15,4,1,2019-12-06,2019-12-13,0
15,4,1,2019-12-13,2019-12-20,0
8,7,1,2019-12-20,2019-12-27,0
16,3,1,2019-12-27,2020-01-03,0
15,4,1,2020-01-03,2020-01-10,0
16,3,1,2020-01-10,2020-01-17,0
13,5,2,2020-01-17,2020-01-24,0
13,5,2,2020-01-24,2020-01-31,4
14,4,2,2020-01-31,2020-02-07,12
12,5,1,2020-02-07,2020-02-14,16
15,4,1,2020-02-14,2020-02-21,16
15,4,1,2020-02-21,2020-02-28,27
15,4,1,2020-02-28,2020-03-06,262
15,4,1,2020-03-06,2020-03-13,1908
15,3,1,2020-03-13,2020-03-20,12327
14,3,1,2020-03-20,2020-03-27,37323
14,3,1,2020-03-27,2020-04-03,77872
9,7,1,2020-04-03,2020-04-10,113296
11,7,1,2020-04-10,2020-04-17,134753
11,7,1,2020-04-17,2020-04-24,150062
12,7,1,2020-04-24,2020-05-01,161197
11,9,0,2020-05-01,2020-05-08,168162
13,7,0,2020-05-08,2020-05-15,174098
