Negative,Positive,Neutral,Start Date,End Date,Total cases
3,3,6,2019-11-29,2019-12-06,0
2,5,6,2019-12-06,2019-12-13,0
1,5,7,2019-12-13,2019-12-20,0
1,5,7,2019-12-20,2019-12-27,0
2,5,5,2019-12-27,2020-01-03,0
2,6,4,2020-01-03,2020-01-10,0
2,6,3,2020-01-10,2020-01-17,0
1,8,3,2020-01-17,2020-01-24,0
2,6,3,2020-01-24,2020-01-31,0
2,5,3,2020-01-31,2020-02-07,3
2,5,1,2020-02-07,2020-02-14,3
3,4,6,2020-02-14,2020-02-21,3
4,4,5,2020-02-21,2020-02-28,3
2,5,6,2020-02-28,2020-03-06,28
2,5,6,2020-03-06,2020-03-13,62
2,5,5,2020-03-13,2020-03-20,156
3,7,5,2020-03-20,2020-03-27,657
2,6,6,2020-03-27,2020-04-03,1998
4,5,5,2020-04-03,2020-04-10,5916
4,5,5,2020-04-10,2020-04-17,12322
4,5,5,2020-04-17,2020-04-24,21370
4,5,5,2020-04-24,2020-05-01,33062
3,6,5,2020-05-01,2020-05-08,52987
4,6,4,2020-05-08,2020-05-15,78055
