Negative,Positive,Neutral,Start Date,End Date,Total cases
0,1,10,2019-11-29,2019-12-06,0
0,1,11,2019-12-06,2019-12-13,0
1,1,11,2019-12-13,2019-12-20,0
1,2,10,2019-12-20,2019-12-27,0
1,1,11,2019-12-27,2020-01-03,0
1,1,11,2020-01-03,2020-01-10,0
1,1,11,2020-01-10,2020-01-17,0
1,2,13,2020-01-17,2020-01-24,2
2,2,10,2020-01-24,2020-01-31,7
2,2,10,2020-01-31,2020-02-07,22
2,2,10,2020-02-07,2020-02-14,28
2,2,11,2020-02-14,2020-02-21,84
2,2,11,2020-02-21,2020-02-28,189
2,2,11,2020-02-28,2020-03-06,331
2,2,11,2020-03-06,2020-03-13,639
2,2,10,2020-03-13,2020-03-20,889
2,2,10,2020-03-20,2020-03-27,1307
1,2,10,2020-03-27,2020-04-03,2178
2,2,9,2020-04-03,2020-04-10,4257
2,2,9,2020-04-10,2020-04-17,8100
1,2,8,2020-04-17,2020-04-24,11512
1,2,9,2020-04-24,2020-05-01,13736
1,2,9,2020-05-01,2020-05-08,15253
1,1,9,2020-05-08,2020-05-15,15968
