Negative,Positive,Neutral,Start Date,End Date,Total cases
11,4,1,2019-11-29,2019-12-06,0
12,3,1,2019-12-06,2019-12-13,0
12,3,1,2019-12-13,2019-12-20,0
13,3,1,2019-12-20,2019-12-27,0
14,2,1,2019-12-27,2020-01-03,0
14,2,1,2020-01-03,2020-01-10,0
14,3,1,2020-01-10,2020-01-17,0
14,3,1,2020-01-17,2020-01-24,0
13,3,1,2020-01-24,2020-01-31,0
13,3,1,2020-01-31,2020-02-07,1
14,4,1,2020-02-07,2020-02-14,2
14,4,1,2020-02-14,2020-02-21,2
15,3,1,2020-02-21,2020-02-28,13
15,2,2,2020-02-28,2020-03-06,222
15,2,2,2020-03-06,2020-03-13,2277
14,3,2,2020-03-13,2020-03-20,13910
18,1,1,2020-03-20,2020-03-27,49515
18,1,1,2020-03-27,2020-04-03,104118
17,1,1,2020-04-03,2020-04-10,148220
17,1,1,2020-04-10,2020-04-17,177644
16,1,1,2020-04-17,2020-04-24,208389
15,3,1,2020-04-24,2020-05-01,212917
17,1,1,2020-05-01,2020-05-08,220325
17,1,1,2020-05-08,2020-05-15,228691
